,MetroAreaID,MedianSalesPrice,Area,lat_long,centroid,distance
276,1001,562490.0,Maryland,"(38.6317, -76.9751)","(52.2296756, -21.0122287)",4505.408944670754 km
277,1010,256400.0,Columbia,"(34.117881, -80.80629)","(34.0007, -81.0348)",24.7790023328479 km
278,1011,571000.0,Charlotte,"(35.033053, -80.872506)","(35.227085, -80.843124)",21.692419569834193 km
279,1004,523990.0,Raleigh,"(35.713269, -78.887334)","(35.884766, -78.625053)",30.3999243371661 km
280,1001,322990.0,Maryland,"(38.3004, -76.5499)","(52.2296756, -21.0122287)",4499.323821077806 km
281,1010,217400.0,Columbia,"(34.181446, -80.905019)","(34.0007, -81.0348)",23.354081952891427 km
282,1010,278900.0,Columbia,"(34.004661, -81.239475)","(34.0007, -81.0348)",18.913362959850023 km
283,1013,291400.0,Aiken/Augusta,"(33.54691, -81.783014)","(33.5076, -81.8604)",8.407525802689742 km
284,1004,403490.0,Raleigh,"(35.714323, -78.886046)","(35.884766, -78.625053)",30.235811715430245 km
285,1010,264400.0,Columbia,"(34.004661, -81.239475)","(34.0007, -81.0348)",18.913362959850023 km
286,1003,408740.0,Charlottesville,"(37.9995, -78.211)","(38.033554, -78.50798)",26.351125140953243 km
287,1008,690900.0,Charleston,"(32.342205, -80.916079)","(32.776566, -79.930923)",104.30834355178328 km
288,1011,420392.0,Charlotte,"(35.026513, -80.667104)","(35.227085, -80.843124)",27.432706025429354 km
289,1010,241900.0,Columbia,"(34.130959, -80.816611)","(34.0007, -81.0348)",24.788272244756836 km
