ZipCode,cluster,avg_cluster_price,avg_cluster_beds,avg_cluster_baths,avg_cluster_sf,avg_cluster_lot_size,avg_cluster_year,avg_cluster_price_persf,avg_cluster_school_rating,Population,HouseholdsPerZipCode,AverageHouseValue,school_rating,IncomePerHousehold,NumberOfBusinesses,over_65_ratio
26833,1.0,564833.2052588105,3.3195290858725763,2.4433806309409007,2148.136013215859,238937.6524790768,1990.702633641462,255.31594162995594,5.195151107523973,6767.061536343613,2701.0045429515417,173361.02698237885,5.217763660188053,50484.76638215859,180.57736784140968,0.220814507379644
26836,1.0,564833.2052588105,3.3195290858725763,2.4433806309409007,2148.136013215859,238937.6524790768,1990.702633641462,255.31594162995594,5.195151107523973,6767.061536343613,2701.0045429515417,173361.02698237885,5.217763660188053,50484.76638215859,180.57736784140968,0.220814507379644
26845,1.0,564833.2052588105,3.3195290858725763,2.4433806309409007,2148.136013215859,238937.6524790768,1990.702633641462,255.31594162995594,5.195151107523973,6767.061536343613,2701.0045429515417,173361.02698237885,5.217763660188053,50484.76638215859,180.57736784140968,0.220814507379644
26847,1.0,564833.2052588105,3.3195290858725763,2.4433806309409007,2148.136013215859,238937.6524790768,1990.702633641462,255.31594162995594,5.195151107523973,6767.061536343613,2701.0045429515417,173361.02698237885,5.217763660188053,50484.76638215859,180.57736784140968,0.220814507379644
26851,1.0,564833.2052588105,3.3195290858725763,2.4433806309409007,2148.136013215859,238937.6524790768,1990.702633641462,255.31594162995594,5.195151107523973,6767.061536343613,2701.0045429515417,173361.02698237885,5.217763660188053,50484.76638215859,180.57736784140968,0.220814507379644
26852,1.0,564833.2052588105,3.3195290858725763,2.4433806309409007,2148.136013215859,238937.6524790768,1990.702633641462,255.31594162995594,5.195151107523973,6767.061536343613,2701.0045429515417,173361.02698237885,5.217763660188053,50484.76638215859,180.57736784140968,0.220814507379644
27006,3.0,568577.3296785286,3.2294197907868236,2.8322944060257784,2037.2508839653551,244995.4217535241,1989.5019121477626,269.3333117072696,5.349048376484178,22321.13355175658,9130.44340999773,220567.37600155707,5.346755806103367,58786.955882829985,700.5457877834366,0.20999354905290243
27012,3.0,568577.3296785286,3.2294197907868236,2.8322944060257784,2037.2508839653551,244995.4217535241,1989.5019121477626,269.3333117072696,5.349048376484178,22321.13355175658,9130.44340999773,220567.37600155707,5.346755806103367,58786.955882829985,700.5457877834366,0.20999354905290243
27013,1.0,564833.2052588105,3.3195290858725763,2.4433806309409007,2148.136013215859,238937.6524790768,1990.702633641462,255.31594162995594,5.195151107523973,6767.061536343613,2701.0045429515417,173361.02698237885,5.217763660188053,50484.76638215859,180.57736784140968,0.220814507379644
27014,1.0,564833.2052588105,3.3195290858725763,2.4433806309409007,2148.136013215859,238937.6524790768,1990.702633641462,255.31594162995594,5.195151107523973,6767.061536343613,2701.0045429515417,173361.02698237885,5.217763660188053,50484.76638215859,180.57736784140968,0.220814507379644
