ZipCode,PCA_0,PCA_1,PCA_2,PCA_3,PCA_4,school_rating
24442,-0.6970092447789005,0.04172417253675675,0.18703854016333066,-0.21040684916294977,0.027012815854612772,5.0
24445,-0.687778361575224,0.0749828631186441,0.13591202897677762,-0.14468812184989177,0.03244315545850479,5.0
24448,-0.6888622170844491,0.0349446034584845,0.16167515977004265,-0.18342910885531263,0.03319516306800792,5.0
24450,-0.6722480202032088,0.15848740866902897,0.03830691881366077,0.0776597464689783,0.03159618225629901,5.2
24457,-0.7010835054101979,0.09091656885848842,0.17196772812563135,-0.20712793875928104,0.04386227716798662,5.0
24458,-0.7055593017951862,0.1111452215493319,0.18849638263442717,-0.2556264690521913,0.007294602904643761,5.0
24459,-0.6918145013334467,0.10092242833298523,0.1432110857542612,-0.20341718685867363,0.0022380096946507506,5.0
24460,-0.6913438249301851,0.10604723910504944,0.14425614158869854,-0.20797107717208135,-0.050227808966512216,8.0
24463,-0.5728510980127401,-0.6413034321411952,0.098287302229016,0.18010537596142231,0.09921872405083625,5.0
24464,0.6174202430261472,0.2868242277896524,0.6509319229993065,-0.1657226695217999,-0.42673820777249344,5.0
24465,-0.7052529628937952,0.17079406416321277,0.16606052821614764,-0.2694593126998541,-0.07615709866063507,8.5
24467,-0.6834911679789181,0.09029765045609031,0.12006224533478552,-0.16367788215714052,-0.00012320743936977707,5.0
24469,-0.5728510980127401,-0.6413034321411952,0.098287302229016,0.18010537596142231,0.09921872405083625,5.0
24471,-0.4009373557641721,0.03858199108460544,-0.10493001345059458,-0.17779751528579593,-0.37056493008342223,5.0
24472,-0.6944762213858594,0.07562387545271002,0.16406238899983464,-0.18668499480732992,0.02164096420658958,5.0
24473,-0.7043396491434654,0.12291571641128879,0.179143263968174,-0.2502878184081818,0.0036340014623407317,5.0
24474,-0.6842187059606862,0.023056230534809274,0.15603658213827157,-0.18122448761179488,0.01654719079451271,5.0
24476,-0.6958502516973317,0.10194867727016331,0.1613366112515991,-0.2348688064369532,-0.005571398979666187,5.0
24477,-0.6767914973489203,0.10298392082506494,0.08454870791460911,-0.023786324664521744,0.041479385795827106,4.25
24479,-0.6934125876072741,0.0772607954940363,0.16152947819414976,-0.20092920387078686,0.011631615840369088,5.0
24482,-0.6834926415192865,0.08903800311297691,0.11047355630648208,-0.0979628494988826,0.03930345040451136,5.0
24483,-0.6863977747138211,0.04643512542895581,0.14988683523962315,-0.18083858956624368,0.016586645131782637,5.0
24484,-0.7016895119816792,0.12440138300550806,0.1599976802437477,-0.21497689923954666,0.026830749975762652,5.0
24485,-0.69204156254047,0.06788022906308787,0.1601089346604999,-0.20518284900641584,0.013136318614998423,5.0
24486,-0.6719026325825506,0.01587415502119659,0.10788086902140834,-0.07435030665781824,0.03155738907641584,5.0
24487,-0.695745916195365,0.09929829405673579,0.15921265897371648,-0.22202933016140047,0.0017964262505850198,5.0
24501,0.756789094720121,0.427835837261006,0.4555734908376584,0.45124474505907164,0.024774278136211757,3.8
24502,0.7740225223662699,0.5092468872433117,0.37369509031750286,0.6396011242458377,-0.06639763810626464,4.5
24503,0.7398751191690399,0.44699403190713943,0.5369468119109266,0.2023768196715365,-0.10988021206234093,4.6
24504,0.7265955266424061,0.41981405813532785,0.5588216031665384,0.1586974919575196,0.030333486224062844,5.0
24505,0.8427017594391155,-0.4130142727587157,0.6189173557925909,0.27868191755783167,-0.06631003386560204,5.0
24506,0.8427219352379414,-0.41270242953441977,0.6186621834445458,0.2792764730711899,-0.06635055267617712,5.0
24513,0.8426636495968888,-0.4136033099601637,0.619399348005565,0.27755886825482157,-0.06623349833451592,5.0
24514,0.8426636495968888,-0.4136033099601637,0.619399348005565,0.27755886825482157,-0.06623349833451592,5.0
24515,0.8426950341728403,-0.41311822050014774,0.6190024132419392,0.2784837323867122,-0.06629652759541037,5.0
24517,0.7265395712684817,0.33218585261246164,0.6295427251329426,0.03716435270036842,-0.043296339662373784,3.5
24520,-0.6966437617535903,0.1519598237765483,0.1115371622454517,-0.13530341576725224,0.08421290979069312,6.0
24521,0.7298018387731511,0.3935080172781898,0.5937719299524533,0.07932036955545854,-0.09985869103019236,5.6
24522,0.7306743231867769,0.37196075029679926,0.6003985352765069,0.07158596886584008,-0.08501640876641829,5.0
24523,0.7363972032757599,0.4313125656376862,0.5527094228290238,0.20860364833481662,-0.07732287229789399,3.6666666666666665
24526,0.7232534981270295,0.3340852219548527,0.6618595707317473,-0.09595303459553443,-0.1733735835439888,7.0
24527,-0.6895071975760478,0.1341845491455146,0.09409877686541306,-0.10259373920272288,0.06523219588886796,8.0
24528,0.7221308516815879,0.35293859907560343,0.6336156546043884,-0.013208462143532178,-0.07219781810555688,6.0
24529,-0.7007111971225511,0.1476921695075873,0.1240148559016253,-0.14179278139657156,0.10882848000191506,5.0
24530,-0.6903784965154366,0.08201077759401787,0.13065083153766563,-0.14568286018812024,0.07710481998671465,5.0
24531,-0.6935492285743082,0.20312469510891784,0.07514020807743645,-0.042184784908368814,0.075353641976613,6.25
24533,0.8426636495968888,-0.4136033099601637,0.619399348005565,0.27755886825482157,-0.06623349833451592,5.0
24534,-0.7005847933186725,0.13961490442254235,0.12094481056590346,-0.12354199587796237,0.14077966848784088,5.0
24535,-0.5728421309910399,-0.6411648351526192,0.09817389229655159,0.1803696228562482,0.09920071569058074,5.0
24536,0.7350819621876225,0.2778360590468209,0.6454938829130634,-0.06522264848050462,-0.14291494019035597,5.0
24538,0.732605019110441,0.31228611869287737,0.6249769668377179,0.016943358266711346,-0.09212638889927934,5.0
24539,-0.7222557788891208,0.2386847471493609,0.14284110488368337,-0.20052337674669207,0.14870589464234948,5.0
24540,-0.6768784936184611,0.33850466980678057,-0.07179751023513617,0.36616594455820034,0.2129273024387237,2.1666666666666665
24541,-0.6771238412260588,0.31109172609480834,-0.05314482924980352,0.31299489776721096,0.1805666658640282,3.375
24543,-0.5727950541271124,-0.6404372009625953,0.09757849015111311,0.18175691905408425,0.09910617179923896,5.0
24549,-0.6792867712169497,0.05695024558074642,0.11102197444265041,-0.0921797342329344,0.03951822227064532,6.0
24550,0.7377992280431976,0.31127217852337474,0.6119459581882042,0.04840905254584488,-0.10876030480647778,5.0
24551,0.7472975335487185,0.4488758244801823,0.5148269400034327,0.23274507309764383,-0.15867993651447,6.0
24553,0.6391515590853716,0.2644787336288885,0.5692542253143325,-0.032185566462094896,-0.36976703453232895,5.0
24554,0.7309100909398973,0.3065115473223605,0.632322466942199,0.006048647091546241,-0.08248761280529078,5.0
24555,-0.686951392871269,0.05679143046363779,0.13716611996746883,-0.13508084615562105,0.055511000534897235,5.0
24556,0.7317701748559822,0.3098095111019616,0.6438125775011698,-0.04914220626728719,-0.16436192538865643,6.0
24557,-0.6938505104457142,0.1562832010045191,0.10026686063973092,-0.05537375219349101,0.11068125331230219,4.25
24558,-0.6981069628759456,0.1644601094083724,0.10099439937447388,-0.06224618423126865,0.15010961855879282,4.0
24562,-0.6911514191536339,0.09591166360038827,0.11803154042629418,-0.1253213679119472,0.09331303629487474,5.0
24563,-0.6840986301830558,0.11103858101612475,0.09885097692610421,-0.0887013230433761,0.02301003080332946,8.0
24565,-0.7081114785121778,0.17979147017606187,0.11361610921229309,-0.11482006816863248,0.1863373392728158,5.0
24566,-0.6875010003269759,0.07436826952976296,0.13153858496318724,-0.15327953159719562,0.048028047659147095,5.0
24569,-0.7000509968502833,0.1498751712487114,0.11223090513864067,-0.12743127883258115,0.14550190816531794,5.0
24570,0.7360417713444989,0.17598871115663078,0.6924396682389194,-0.05464932394154334,-0.12644244027291268,5.0
24571,0.7220815020777605,0.33335063175347435,0.6529142040659779,-0.05491387537617897,-0.0976431056979677,5.0
24572,0.7382765416515655,0.4060947527877771,0.5559121483480803,0.17885322801410933,-0.08940976016588957,5.5
24574,0.728660694331414,0.3289633589031896,0.6298838304111527,-0.005051018451184107,-0.09219189880542171,5.0
24576,0.8411252959233897,-0.4210800730610967,0.6248465688523043,0.28521999823656763,-0.02597239417335011,3.0
24577,-0.6974476654622762,0.15532140220626803,0.10572733242414664,-0.08485699820467532,0.12457014758626622,5.5
24578,-0.6873645236756701,0.05591829412751735,0.14631852893617608,-0.17186537857313458,0.02180629775112814,5.0
24579,-0.6821886954070703,0.04591828800480643,0.14075541113337336,-0.17558963802291275,-0.041028994770036076,8.0
24580,-0.6889109123639624,0.06554074684081915,0.1348484176755887,-0.149952730212857,0.07420366672604743,5.0
24581,0.5878318954935926,0.43730565221967654,0.6608618100199622,-0.21697795475348344,-0.3334865431403248,5.0
24586,-0.6818743793442493,0.08879031062607551,0.1010552738462183,-0.07661661369568248,0.04838829574776768,6.333333333333333
24588,0.7384256422338521,0.32135216594238125,0.602120814483468,0.08843719449566627,-0.09819796466484348,5.0
24589,-0.6869586967073429,0.08859981075762678,0.10953445436168076,-0.10313371803092612,0.08167449846391286,6.0
24590,0.6470721818608358,0.2782400687305724,0.5359373591483407,0.06440993430464335,-0.3519957061786835,3.0
24592,-0.6859568185115035,0.21261789363973388,0.029416094254884312,0.0933554417040254,0.15641300829942614,4.666666666666667
24593,0.7330243889277555,0.3035039013614584,0.6286390071607705,-0.018906463881879852,-0.09863826211156167,5.0
24594,-0.6922771316226957,0.08212106473633383,0.13636241220818096,-0.14232405897200212,0.08422499471437649,5.0
24595,0.8065339127314455,-0.08496951779686376,0.5801927105873569,0.1601262052161909,-0.12009787457678756,5.0
24597,-0.6910725573711715,0.09219305969101617,0.115062922522913,-0.10739509924558789,0.12327718671851823,5.0
24598,-0.6912483463520891,0.11533755987784973,0.11754583118696957,-0.13970794990941834,0.06510260641245015,5.0
