State,zip,PRICE
FL,32931,787906
FL,32934,663140
FL,32935,498143
FL,32937,734774
FL,32940,496797
FL,32948,496067
FL,32949,659348
FL,32950,886350
FL,32951,1369786
FL,32952,1026252
FL,32953,471231
FL,32955,624064
FL,32958,511989
FL,32960,451687
FL,32962,282431
FL,32963,2147823
FL,32966,474909
FL,32967,563411
FL,32968,525732
FL,32976,530500
FL,33001,4273750
FL,33004,430420
FL,33009,530575
FL,33010,474281
FL,33012,327420
FL,33013,494586
FL,33014,630042
FL,33015,310577
FL,33016,412200
FL,33018,515345
FL,33019,947471
FL,33020,485562
FL,33021,472895
FL,33023,392241
FL,33024,450205
FL,33025,323260
FL,33026,333701
FL,33027,410937
FL,33028,556586
FL,33029,712891
FL,33030,792406
FL,33031,1093018
FL,33032,479835
FL,33033,374395
FL,33034,457245
FL,33035,318658
FL,33036,2916508
FL,33037,1648956
FL,33040,1742025
FL,33042,1461046
FL,33043,1112497
FL,33050,1680425
FL,33051,1895670
FL,33054,392036
FL,33055,394210
FL,33056,387382
FL,33060,579264
FL,33062,885524
FL,33063,244329
FL,33064,1152181
FL,33065,397948
FL,33066,240197
FL,33067,1075761
FL,33068,296768
FL,33069,275753
FL,33070,1904553
FL,33071,558111
FL,33073,587851
FL,33076,1137144
FL,33109,7037500
FL,33122,1725000
FL,33125,529399
FL,33126,363479
FL,33127,919436
FL,33128,794464
FL,33129,1554112
FL,33130,751264
FL,33131,1075717
FL,33132,1089019
FL,33133,2112392
FL,33134,1407397
FL,33135,691270
FL,33136,1072681
FL,33137,1199282
FL,33138,1494619
FL,33139,1432842
FL,33140,1489740
FL,33141,995953
FL,33142,444973
FL,33143,3047921
FL,33144,641033
FL,33145,679468
FL,33146,1447101
FL,33147,354597
FL,33149,3027306
FL,33150,581632
FL,33154,2308525
FL,33155,733167
FL,33156,2883292
FL,33157,757759
FL,33158,1701333
FL,33160,1473921
FL,33161,558686
FL,33162,419356
FL,33165,657154
FL,33166,558880
FL,33167,411932
FL,33168,478841
FL,33169,398194
FL,33170,687465
FL,33172,315367
FL,33173,595467
FL,33174,519143
FL,33175,770675
FL,33176,980060
FL,33177,493831
FL,33178,637967
FL,33179,472865
FL,33180,873285
FL,33181,993299
FL,33182,810138
FL,33183,581904
FL,33184,642915
FL,33185,610722
FL,33186,470556
FL,33187,1087409
FL,33189,408385
FL,33190,360673
FL,33193,416894
FL,33194,627886
FL,33196,548321
FL,33301,2524108
FL,33302,275000
FL,33304,1374901
FL,33305,1818148
FL,33306,2040300
FL,33308,1343013
FL,33309,398783
FL,33311,382301
FL,33312,757513
FL,33313,189206
FL,33314,674049
FL,33315,623057
FL,33316,2617495
FL,33317,445350
FL,33319,193298
FL,33321,260994
FL,33322,190265
FL,33323,637950
FL,33324,522957
FL,33325,868733
FL,33326,1207621
FL,33327,1056889
FL,33328,726246
FL,33330,2123347
FL,33331,1666362
FL,33332,2539041
FL,33334,574931
FL,33351,307323
FL,33401,1277984
FL,33403,930427
FL,33404,1101726
FL,33405,1449121
FL,33406,414759
FL,33407,419719
FL,33408,1226370
FL,33409,403326
FL,33410,1897191
FL,33411,534734
FL,33412,1120735
FL,33413,596979
FL,33414,2345572
FL,33415,319978
FL,33417,126155
FL,33418,1450076
FL,33426,340404
FL,33428,466443
FL,33430,260653
FL,33431,1783006
FL,33432,2616229
FL,33433,586373
FL,33434,425674
FL,33435,516866
FL,33436,470920
FL,33437,510291
FL,33440,363513
FL,33441,720128
FL,33442,260521
FL,33444,946251
FL,33445,370186
FL,33446,695468
FL,33449,2248826
FL,33455,1463133
FL,33458,1398254
FL,33460,657800
FL,33461,204425
